24,5
59,53
35,12
27,11
8,1
13,41
63,39
25,10
17,43
25,23
38,9
49,34
3,7
8,35
12,33
10,1
5,1
13,23
55,61
3,24
5,41
9,11
9,12
59,44
7,3
20,25
35,17
13,5
17,44
13,19
17,33
3,6
11,45
37,25
8,17
17,3
62,67
6,23
17,5
45,43
19,4
51,38
67,38
61,61
35,13
43,23
50,39
3,16
65,45
35,9
43,34
35,20
68,69
29,17
19,5
3,27
5,43
58,33
53,34
37,8
63,57
58,53
43,21
15,46
65,53
43,45
51,33
5,3
10,33
1,47
54,49
3,37
32,3
63,50
41,41
3,30
21,5
35,1
50,41
19,21
12,23
25,35
45,52
30,3
49,47
23,9
63,49
9,21
53,49
43,43
25,9
55,59
10,37
43,55
51,36
17,19
44,43
11,25
39,6
69,39
19,6
41,22
5,10
17,23
2,15
45,22
7,13
1,41
6,33
35,11
43,42
58,51
39,48
34,5
43,9
61,35
13,24
1,15
13,0
62,33
37,23
9,37
1,31
34,1
15,45
9,17
17,13
9,9
69,68
23,16
11,33
5,34
68,65
36,17
0,23
11,9
55,53
31,13
57,39
39,7
62,65
11,41
22,25
0,37
67,61
20,17
0,9
61,51
17,48
2,33
0,31
56,39
3,19
3,8
13,50
61,38
34,21
55,60
57,60
8,43
18,7
49,50
67,49
65,51
48,53
7,47
23,21
41,23
15,33
37,3
68,51
13,45
21,35
5,37
3,21
22,33
17,29
5,35
43,53
21,16
42,43
65,54
65,46
50,33
5,15
48,43
44,19
29,10
11,36
27,2
61,39
59,63
59,54
10,25
47,49
43,35
21,11
57,65
15,35
1,38
61,62
38,19
63,58
57,61
35,7
35,8
13,34
17,1
5,45
41,43
21,19
12,45
67,58
40,3
65,55
13,1
45,19
33,1
18,3
66,59
51,35
14,3
17,11
35,19
55,40
42,39
40,47
3,45
5,9
45,36
1,4
65,47
9,45
12,39
35,14
21,6
5,11
19,17
11,40
44,51
6,37
67,51
45,34
15,29
12,3
49,36
51,67
23,4
5,23
45,25
28,11
53,40
63,47
64,57
3,1
3,38
41,54
65,44
16,15
20,13
19,15
30,11
67,67
69,36
57,64
39,12
53,54
59,62
1,22
65,56
1,43
5,19
63,38
19,2
53,38
60,39
5,47
17,27
11,22
12,27
14,13
59,66
46,53
14,17
44,53
13,7
0,41
43,50
69,43
39,11
15,8
19,29
9,39
15,11
53,51
2,41
63,30
67,54
26,3
61,56
62,53
7,35
35,23
45,51
63,69
64,67
16,37
47,50
8,23
55,69
9,8
63,41
19,14
63,60
25,14
9,42
66,47
15,5
69,40
38,13
63,52
7,23
57,58
1,11
7,6
28,7
1,27
50,47
1,17
45,9
17,21
2,11
45,41
55,70
31,7
45,35
29,23
5,7
1,14
53,67
3,10
51,39
2,25
49,39
1,21
6,5
3,39
3,18
66,69
63,37
18,17
20,19
48,19
25,13
14,33
6,31
3,36
29,9
53,52
11,1
47,19
31,1
3,11
55,51
19,9
1,18
2,3
67,60
70,63
17,7
13,30
17,47
26,7
44,33
3,29
31,3
41,47
7,46
59,59
63,59
37,17
56,43
7,15
53,39
29,2
55,55
1,39
21,0
5,25
61,69
53,53
7,9
41,8
55,46
37,5
36,21
63,67
7,8
59,57
42,3
13,38
8,5
53,47
22,13
3,31
46,41
46,45
8,37
23,22
46,37
69,51
59,55
45,21
43,36
58,49
26,33
38,17
59,61
70,53
43,47
45,17
6,35
61,49
14,47
45,33
67,59
62,47
8,27
35,4
39,1
11,42
52,53
5,20
52,49
7,20
41,9
11,31
23,2
35,2
41,39
37,12
69,47
9,43
18,21
57,48
51,62
49,42
13,11
12,21
2,5
3,9
45,53
39,4
12,47
9,4
7,37
65,62
3,3
7,33
9,24
59,60
1,8
5,33
1,35
13,47
37,47
64,65
43,19
7,17
21,12
11,18
67,45
21,13
67,62
59,39
27,31
67,34
11,13
37,2
52,37
67,66
4,29
16,13
69,41
67,35
49,52
5,21
4,37
6,3
47,39
11,49
25,25
45,2
21,23
67,55
51,48
15,17
12,9
11,43
14,41
63,43
23,14
63,55
15,47
10,21
37,13
35,21
63,65
38,23
63,51
59,51
39,43
2,27
6,1
16,9
32,7
9,41
69,45
23,20
19,10
49,68
48,47
70,41
41,16
37,10
59,33
69,56
61,54
37,7
12,5
47,45
7,21
57,66
57,43
34,7
19,11
9,16
30,7
29,4
46,69
9,23
1,12
6,27
27,17
51,69
15,18
67,48
9,7
17,9
44,21
62,41
35,3
61,67
3,13
43,46
43,48
17,10
22,19
67,57
53,35
60,47
69,69
41,45
56,67
59,47
51,55
16,21
46,49
8,25
66,49
9,44
1,25
59,65
45,47
58,57
7,38
69,60
3,28
15,7
58,69
47,47
23,5
49,37
47,53
17,2
69,37
6,11
53,68
51,63
19,35
13,48
7,43
5,17
57,55
13,33
5,2
15,25
9,10
56,51
57,49
64,51
19,23
59,37
65,35
41,12
60,59
15,3
55,35
1,37
43,67
59,48
23,7
35,5
60,57
65,63
47,21
41,50
47,33
37,11
49,53
6,45
19,8
14,9
21,10
56,49
38,3
16,5
54,57
29,1
27,5
47,54
59,41
42,21
37,1
47,55
43,3
3,17
4,43
47,25
65,60
20,3
18,25
2,35
14,11
7,18
3,35
3,33
47,51
21,15
42,35
66,55
69,49
25,11
4,45
11,35
7,12
2,21
23,1
17,15
15,4
9,1
60,67
17,37
7,45
66,41
59,68
13,49
41,17
69,63
33,5
69,58
66,67
64,63
43,49
55,64
51,50
41,5
39,5
13,37
7,31
52,45
22,7
40,45
43,40
4,33
19,13
67,37
16,31
29,3
3,12
