66|19
99|87
99|55
49|28
49|64
49|81
43|81
43|55
43|13
43|39
18|34
18|51
18|66
18|53
18|65
83|87
83|74
83|56
83|26
83|17
83|47
84|64
84|81
84|43
84|61
84|57
84|66
84|12
74|14
74|88
74|64
74|66
74|15
74|99
74|49
74|52
87|26
87|38
87|57
87|18
87|84
87|43
87|28
87|65
87|22
64|45
64|14
64|77
64|55
64|94
64|29
64|56
64|26
64|25
64|22
88|37
88|77
88|55
88|76
88|64
88|35
88|57
88|99
88|43
88|13
88|19
19|56
19|76
19|37
19|14
19|99
19|64
19|83
19|43
19|24
19|15
19|35
19|77
48|58
48|39
48|15
48|81
48|75
48|29
48|13
48|35
48|45
48|12
48|61
48|14
48|37
53|14
53|42
53|15
53|83
53|25
53|12
53|77
53|58
53|76
53|48
53|39
53|37
53|56
53|55
29|62
29|97
29|88
29|65
29|17
29|52
29|42
29|38
29|51
29|28
29|22
29|47
29|87
29|84
29|45
14|24
14|62
14|87
14|56
14|65
14|47
14|45
14|18
14|42
14|75
14|17
14|92
14|58
14|84
14|25
14|83
77|13
77|17
77|22
77|38
77|94
77|58
77|75
77|24
77|49
77|92
77|83
77|84
77|87
77|56
77|18
77|47
77|45
45|74
45|26
45|97
45|18
45|75
45|57
45|38
45|49
45|19
45|51
45|94
45|62
45|28
45|92
45|34
45|88
45|87
45|84
24|26
24|88
24|42
24|22
24|65
24|34
24|17
24|62
24|97
24|94
24|47
24|28
24|52
24|49
24|38
24|29
24|84
24|18
24|75
35|25
35|38
35|14
35|18
35|26
35|87
35|97
35|24
35|22
35|58
35|65
35|94
35|29
35|47
35|56
35|76
35|45
35|37
35|62
35|77
62|48
62|88
62|81
62|49
62|97
62|15
62|99
62|51
62|84
62|53
62|61
62|65
62|34
62|66
62|64
62|28
62|92
62|74
62|38
62|57
62|19
39|25
39|22
39|13
39|62
39|35
39|24
39|58
39|56
39|14
39|94
39|87
39|77
39|47
39|26
39|18
39|76
39|83
39|42
39|75
39|97
39|29
39|37
92|43
92|28
92|55
92|99
92|49
92|81
92|34
92|19
92|88
92|66
92|15
92|39
92|51
92|17
92|48
92|57
92|74
92|84
92|61
92|64
92|52
92|35
92|12
81|29
81|55
81|58
81|25
81|39
81|35
81|76
81|77
81|56
81|12
81|24
81|83
81|22
81|64
81|13
81|75
81|45
81|15
81|99
81|47
81|37
81|87
81|42
81|14
15|77
15|22
15|94
15|56
15|47
15|76
15|24
15|83
15|75
15|18
15|14
15|29
15|58
15|12
15|13
15|64
15|39
15|45
15|87
15|37
15|35
15|25
15|55
15|42
28|88
28|35
28|53
28|57
28|76
28|12
28|81
28|77
28|14
28|19
28|48
28|39
28|61
28|99
28|83
28|66
28|55
28|34
28|51
28|43
28|15
28|37
28|64
28|25
37|42
37|26
37|77
37|47
37|92
37|62
37|22
37|45
37|94
37|25
37|56
37|24
37|58
37|14
37|18
37|87
37|38
37|17
37|13
37|75
37|83
37|97
37|65
37|29
38|12
38|57
38|81
38|43
38|34
38|61
38|17
38|28
38|49
38|55
38|88
38|51
38|53
38|39
38|92
38|15
38|84
38|19
38|64
38|52
38|48
38|99
38|74
38|66
56|17
56|38
56|13
56|22
56|87
56|65
56|42
56|74
56|75
56|49
56|94
56|84
56|28
56|26
56|62
56|52
56|92
56|18
56|24
56|97
56|29
56|45
56|47
56|58
25|77
25|29
25|62
25|58
25|47
25|56
25|42
25|87
25|65
25|75
25|92
25|97
25|13
25|83
25|84
25|94
25|38
25|24
25|74
25|22
25|26
25|45
25|17
25|18
47|18
47|62
47|51
47|28
47|52
47|97
