233210433951170, 272655040388795, 179982504986147 @ 39, -98, 166
385274025881243, 351578921558552, 375160114124378 @ -71, -36, -9
298962016918939, 322446494312107, 293073189215975 @ 36, 8, 96
201717428991179, 262965089923292, 196011482381270 @ 92, -490, -114
247277712435905, 218345997267326, 196010243400590 @ -165, -58, -21
352675244632049, 554364732018242, 152625975899360 @ -14, -223, 247
324422391745634, 227138986518940, 108773241649847 @ -47, 91, 312
313067186829719, 462648141629189, 246008354182145 @ -32, -268, 104
248189680078635, 407471031162962, 290189220302863 @ 84, -111, 82
199505021061112, 177980659229372, 175893468794335 @ 75, 219, -136
323521328529479, 153391146336101, 520509666624452 @ 8, 190, -153
360051136858637, 298827430321256, 336098642729624 @ -33, 31, 46
367582428636269, 353752754593133, 455721090356150 @ -22, -10, -51
211477679844979, 203677879111232, 217560677966690 @ 21, -6, -258
218366027555690, 91153932623633, 169742494255475 @ 55, 516, 174
288792682769846, 151081271429165, 316680362356580 @ 29, 198, 39
400036733736580, 365852984506581, 406363416106765 @ -121, -82, -86
243674722027939, 264638195629846, 368019298840514 @ 48, -10, -195
332472697757909, 255887072597627, 449982813510170 @ -14, 72, -103
293819507985671, 365421753329232, 320423714581815 @ 40, -41, 64
183795219388603, 164835194289157, 182094814151316 @ 164, 184, 203
366382639583285, 522460208371841, 518912456550689 @ -38, -210, -150
278030923313372, 474502522717304, 278007597919598 @ 25, -273, 61
184999670575064, 304820097537788, 122671272945698 @ 173, -157, 321
265320160337191, 209979205841084, 187675399475264 @ -18, 93, 162
255003872135235, 187028804687876, 407151799392366 @ 42, 150, -202
232101686193635, 213975266196382, 240273621582836 @ -56, -16, -240
240450116917919, 291888137519462, 173873024655080 @ -126, -500, 110
272272783256099, 179409072253472, 234062260919450 @ -131, 168, -51
258328493647231, 291203717558176, 1069885971366 @ 6, -85, 583
308480795834427, 375221170112166, 191413358004718 @ -148, -344, 143
318965385523139, 449168722347464, 524505928207346 @ -77, -325, -428
315428275959716, 320608674825977, 347102330296784 @ -13, -26, -13
265804330221453, 202452363951731, 254036584668891 @ -70, 96, -68
248444418711669, 229841285103942, 226914597591080 @ -19, 10, 12
227395285887150, 257325944365101, 70101971531074 @ 15, -148, 577
224719946426892, 475040312860836, 153333865934499 @ 69, -613, 242
344114892644297, 270105569149106, 304267086374202 @ -101, 12, -7
320857919431207, 217110959414744, 196143006133728 @ -24, 111, 187
410690148490391, 362551894817732, 320880138922346 @ -121, -66, 37
315678167593799, 310902164439092, 311011187282990 @ -153, -162, -150
284162696329517, 416472913289144, 295799028470984 @ -215, -793, -340
129718901789310, 163245969554691, 216967791295737 @ 249, 188, 146
209964965625112, 191161250819537, 165388796738017 @ -25, 54, 82
497673110723211, 386499996540904, 291331122466962 @ -160, -49, 106
320457813756275, 281605309858328, 237722774472098 @ -190, -109, 15
259221111410294, 226809538368362, 251163917228960 @ -33, 33, -33
151145084542716, 130981648419475, 211580753667646 @ 231, 256, 133
239808287365644, 261920251496762, 276405310385540 @ 77, 33, 51
197726725612939, 82924950628456, 179987257304506 @ 123, 983, 5
241050954384837, 183215659641108, 354255673424906 @ 77, 157, -63
244313293798068, 247257935609159, 212779037837148 @ 41, 18, 115
65408297713475, 57213841527206, 185313960119735 @ 316, 321, 204
213464627894059, 86598732993256, 266870833653114 @ 78, 515, -185
231737597144849, 223510555290722, 213894690906560 @ 35, 32, 56
353131713528389, 301010156323777, 361300184449735 @ -122, -44, -110
210230261973787, 92476419248104, 254715385528386 @ 62, 655, -328
227008099340099, 156979790581134, 224213055692070 @ -32, 298, -161
210017680134353, 191191733968714, 160479904438100 @ 31, 88, 174
304280239427448, 321473363430832, 334898721210818 @ -9, -41, -15
267558481716839, 268029989177432, 305049430365950 @ -11, -29, -88
186217090156385, 109133442305270, 122793773229323 @ 166, 313, 308
318213640730391, 398018375578773, 495253231503708 @ 24, -58, -97
290701720322309, 305430434394176, 150675954587450 @ -82, -137, 249
196942378457994, 356313064568915, 330403621930505 @ 143, -234, -156
317630064349157, 327988113634937, 420667383465542 @ 26, 14, -19
307210663909389, 396745266168812, 269500404103700 @ -207, -519, -126
247734440322603, 211037541638632, 425633703630138 @ 57, 109, -223
404292354896369, 418044561757832, 73932436985270 @ -65, -81, 327
272425529225979, 200503642613178, 271391578599980 @ -132, 92, -186
211119943025843, 197686009410326, 183468803904458 @ 16, 32, -15
205698363151069, 152042412981382, 160956188941830 @ 69, 374, 175
157759514155969, 250333392643202, 205728726817150 @ 195, 72, 179
308391291585438, 325079994122717, 432676155319375 @ 17, -6, -76
309299635224904, 234127317978519, 219421624701989 @ -157, 20, 66
382159216227129, 382889401056097, 319693115663330 @ -198, -212, -63
